Country,Year,LCC
98,2010,FALSE
99,2010,FALSE
100,2010,FALSE
101,2010,FALSE
102,2010,
103,2010,FALSE
104,2010,FALSE
105,2010,TRUE
106,2010,
107,2010,FALSE
108,2010,FALSE
109,2010,FALSE
110,2010,TRUE
111,2010,FALSE
112,2010,FALSE
113,2010,TRUE
114,2010,TRUE
115,2010,
116,2010,
117,2010,FALSE
118,2010,FALSE
119,2010,FALSE
120,2010,TRUE
121,2010,TRUE
122,2010,FALSE
123,2010,FALSE
124,2010,TRUE
125,2010,FALSE
126,2010,
127,2010,TRUE
128,2010,FALSE
129,2010,
130,2010,FALSE
131,2010,
132,2010,FALSE
133,2010,FALSE
134,2010,FALSE
135,2010,FALSE
136,2010,
137,2010,FALSE
138,2010,TRUE
139,2010,TRUE
140,2010,FALSE
141,2010,
142,2010,TRUE
143,2010,
144,2010,FALSE
145,2010,
146,2010,FALSE
147,2010,FALSE
148,2010,
149,2010,TRUE
150,2010,
151,2010,
152,2010,
153,2010,FALSE
154,2010,FALSE
155,2010,TRUE
156,2010,
157,2010,
158,2010,FALSE
159,2010,
160,2010,FALSE
161,2010,FALSE
162,2010,FALSE
163,2010,FALSE
164,2010,FALSE
165,2010,
166,2010,FALSE
167,2010,FALSE
168,2010,FALSE
169,2010,TRUE
170,2010,
171,2010,FALSE
172,2010,
173,2010,FALSE
174,2010,TRUE
175,2010,FALSE
176,2010,FALSE
177,2010,
178,2010,FALSE
179,2010,FALSE
180,2010,FALSE
181,2010,TRUE
182,2010,
183,2010,FALSE
184,2010,
185,2010,FALSE
186,2010,FALSE
187,2010,
188,2010,FALSE
189,2010,FALSE
190,2010,
191,2010,FALSE
192,2010,TRUE
193,2010,FALSE
194,2010,
195,2010,FALSE
196,2010,FALSE
197,2010,FALSE
198,2010,
199,2010,
200,2010,TRUE
201,2010,FALSE
202,2010,FALSE
203,2010,
204,2010,TRUE
205,2010,
206,2010,FALSE
207,2010,FALSE
208,2010,FALSE
209,2010,FALSE
210,2010,
211,2010,
212,2010,
213,2010,TRUE
214,2010,FALSE
215,2010,FALSE
216,2010,FALSE
217,2010,FALSE
218,2010,FALSE
219,2010,
220,2010,FALSE
221,2010,
222,2010,FALSE
223,2010,FALSE
224,2010,
225,2010,
226,2010,
227,2010,TRUE
228,2010,TRUE
1,2008,
2,2008,FALSE
3,2008,FALSE
4,2008,
5,2008,
6,2008,TRUE
7,2008,
8,2008,FALSE
9,2008,FALSE
10,2008,FALSE
11,2008,
12,2008,
13,2008,FALSE
14,2008,FALSE
15,2008,FALSE
16,2008,
17,2008,FALSE
18,2008,TRUE
19,2008,FALSE
20,2008,FALSE
21,2008,FALSE
22,2008,
23,2008,TRUE
24,2008,
25,2008,TRUE
26,2008,FALSE
27,2008,FALSE
28,2008,FALSE
29,2008,FALSE
30,2008,
31,2008,FALSE
32,2008,FALSE
33,2008,TRUE
34,2008,
35,2008,TRUE
36,2008,TRUE
37,2008,FALSE
38,2008,FALSE
39,2008,
40,2008,
41,2008,TRUE
42,2008,FALSE
43,2008,FALSE
44,2008,
45,2008,FALSE
46,2008,TRUE
47,2008,TRUE
48,2008,
49,2008,FALSE
50,2008,TRUE
51,2008,FALSE
52,2008,FALSE
53,2008,FALSE
54,2008,FALSE
55,2008,
56,2008,FALSE
57,2008,TRUE
58,2008,
59,2008,FALSE
60,2008,FALSE
61,2008,FALSE
62,2008,FALSE
63,2008,
64,2008,TRUE
65,2008,FALSE
66,2008,TRUE
67,2008,
68,2008,
69,2008,FALSE
70,2008,FALSE
71,2008,FALSE
72,2008,
73,2008,FALSE
74,2008,TRUE
75,2008,FALSE
76,2008,FALSE
77,2008,TRUE
78,2008,
79,2008,FALSE
80,2008,
81,2008,
82,2008,
83,2008,FALSE
84,2008,
85,2008,TRUE
86,2008,
87,2008,FALSE
88,2008,
89,2008,FALSE
90,2008,FALSE
91,2008,FALSE
92,2008,FALSE
93,2008,TRUE
94,2008,FALSE
95,2008,FALSE
96,2008,
97,2008,FALSE
98,2008,FALSE
99,2008,FALSE
100,2008,FALSE
101,2008,FALSE
102,2008,
103,2008,FALSE
104,2008,FALSE
105,2008,TRUE
106,2008,
107,2008,FALSE
108,2008,
109,2008,FALSE
110,2008,TRUE
111,2008,FALSE
112,2008,FALSE
113,2008,
114,2008,
115,2008,
116,2008,
117,2008,FALSE
118,2008,FALSE
119,2008,FALSE
120,2008,TRUE
121,2008,
122,2008,FALSE
123,2008,FALSE
124,2008,TRUE
125,2008,FALSE
126,2008,
127,2008,TRUE
128,2008,FALSE
129,2008,
130,2008,FALSE
131,2008,
132,2008,FALSE
133,2008,
134,2008,FALSE
135,2008,FALSE
136,2008,
137,2008,FALSE
138,2008,TRUE
139,2008,
140,2008,FALSE
141,2008,
142,2008,TRUE
143,2008,
144,2008,FALSE
145,2008,
146,2008,FALSE
147,2008,FALSE
148,2008,TRUE
149,2008,TRUE
150,2008,
151,2008,
152,2008,
153,2008,FALSE
154,2008,FALSE
155,2008,TRUE
156,2008,
157,2008,
158,2008,FALSE
159,2008,TRUE
160,2008,FALSE
161,2008,FALSE
162,2008,FALSE
163,2008,FALSE
164,2008,FALSE
165,2008,
166,2008,FALSE
167,2008,FALSE
168,2008,FALSE
169,2008,TRUE
170,2008,
171,2008,
172,2008,
173,2008,FALSE
174,2008,TRUE
175,2008,FALSE
176,2008,FALSE
177,2008,
178,2008,FALSE
179,2008,FALSE
180,2008,FALSE
181,2008,
182,2008,
183,2008,FALSE
184,2008,
185,2008,FALSE
186,2008,FALSE
187,2008,
188,2008,
189,2008,
190,2008,
191,2008,
192,2008,
193,2008,FALSE
194,2008,TRUE
195,2008,FALSE
196,2008,FALSE
197,2008,FALSE
198,2008,
199,2008,
200,2008,TRUE
201,2008,FALSE
202,2008,FALSE
203,2008,
204,2008,TRUE
205,2008,
206,2008,
207,2008,FALSE
208,2008,FALSE
209,2008,FALSE
210,2008,FALSE
211,2008,
212,2008,
213,2008,TRUE
214,2008,FALSE
215,2008,FALSE
216,2008,FALSE
217,2008,FALSE
218,2008,FALSE
219,2008,FALSE
220,2008,
221,2008,
222,2008,FALSE
223,2008,FALSE
224,2008,
225,2008,
226,2008,TRUE
227,2008,TRUE
228,2008,TRUE
